Year,Month,State,Gross Statutory Allocation,Deduction,Exchange Gain,EMTL,Net Share of Ecology,VAT,Total Allocation
2023,March,KADUNA,2435116418,0,749516304.3,138076813.6,0,95538981.67,2259818618
2023,March,KATSINA,2951560650,0,908475181.7,150281922.3,0,115801074.9,2825192557
2023,March,LAGOS,2320748642,0,714314491.4,343322466.8,0,91051894,9389855981
2023,March,TARABA,1536190379,0,472831494.8,67971148.21,0,60270656.22,1291544388
2023,March,YOBE,1544504799,0,475390630.3,70516134.73,0,60596862.87,1260209749
2023,March,ZAMFARA,1395563333,0,429547213.4,70055225.75,0,54753316.39,1272624588
2023,March,FCT-ABUJA,616377455.3,0,189717809.4,80674277.97,0,24182857.94,2131017360
2023,October,ADAMAWA,1896954589,0,851298815.1,85424900.49,0,82447602.12,2089964121
2023,October,ANAMBRA,1907205933,0,855899324.1,123494952.1,0,82893157.7,2405866922
2023,October,BAUCHI,2165056146,0,971615104.7,94043687.71,0,94100137.51,2295759310
2023,October,BORNO,2557818948,0,1147875786,110086103.7,0,111170842,2717554205
2023,October,EKITI,1283674343,0,576076229.7,66500576.3,0,55792517.19,1607154076
2023,October,ENUGU,1642534826,0,737122522.2,88907774.22,0,71389720.45,1846122292
2023,October,GOMBE,1125466010,0,505076867,50999311.04,0,48916286.31,1300651904
2023,October,JIGAWA,2312738094,0,1037890528,106643544.7,0,100518858.7,2795617538
2023,October,KADUNA,2600892980,0,1167206176,128827821.3,0,113042974.7,2922147795
2023,October,KATSINA,3152495428,0,1414749535,140161695.5,0,137017348.9,3466490912
2023,October,LAGOS,2478739336,0,1112387124,334313970.7,0,107733793.8,12242607091
2023,October,NASSARAWA,1298190583,0,582590701.6,56535172.4,0,56423438.53,1276614635
2023,October,OGUN,1714184951,0,769277043.6,111089663.7,0,74503859.85,2192394650
2023,October,OSUN,2217567919,0,995180882.6,117094137.3,0,96382464.06,2678274427
2023,October,OYO,2797288906,0,1255343035,164416969.7,0,121578958.2,4616768842
2023,October,SOKOTO,2189143440,0,982424791.5,94073950.64,0,95147046.94,2342813347
2023,October,TARABA,1640770332,0,736330668,63602992.58,0,71313030,1644007612
